Company,Specific Bean Origin,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin,price(100g)
Snake & Butterfly,Madagascar,2010,68.0,U.S.A.,60.0,Trinitario,Madagascar,102000.0
Snake & Butterfly,Ecuador,2010,68.0,U.S.A.,65.0,Blend,Ecuador,110500.0
Solkiki,"Maranon, Fortunato No. 4",2016,68.0,U.K.,55.0,Forastero (Nacional),Peru,93500.0
Soma,"Oko Caribe, Duarte P., Collab w Chocosol",2016,62.0,Canada,70.0,Blend,Domincan Republic,108500.0
Soma,Equator,2013,67.0,Canada,80.0,Blend,"Peru, Dom. Rep",134000.0
Soma,Peruvian,2011,64.0,Canada,80.0,Blend,Peru,128000.0
Stella (aka Bernrain),"Bahia, Agri-Forestal Plantation, 2010",2012,68.0,Switzerland,55.0,Trinitario,Brazil,93500.0
StRita Supreme,"Samar, East Visayas region",2012,65.0,U.S.A.,50.0,Blend,Philippines,81250.0
Sublime Origins,Sambirano,2013,67.0,U.S.A.,55.0,Trinitario,Madagascar,92125.0
Summerbird,Peru,2016,61.0,Denmark,50.0,"Criollo, Trinitario",Peru,76250.0
Suruca Chocolate,Venezuela,2016,60.0,Venezuela,60.0,Blend,Venezuela,90000.0
Tablette (aka Vanillabeans),Papua,2015,62.0,Japan,65.0,Blend,Papua New Guinea,100750.0
Tablette (aka Vanillabeans),Vietnam,2015,60.0,Japan,65.0,Trinitario,Vietnam,97500.0
Taza,Belize,2014,68.0,U.S.A.,60.0,Trinitario,Belize,102000.0
TCHO,West Africa,2016,62.0,U.S.A.,40.0,Forastero,West Africa,62000.0
TCHO,TCHOPro 60.5,2009,60.0,U.S.A.,55.0,Blend,Other,82500.0
TCHO,TCHOPro 68,2009,68.0,U.S.A.,60.0,Blend,Other,102000.0
Tejas,San Jose,2012,67.0,U.S.A.,65.0,Blend,Bolivia,108875.0
Terroir,Madagascar,2014,67.0,U.S.A.,75.0,Trinitario,Madagascar,125625.0
Theo,Congo w/ nibs,2012,65.0,U.S.A.,65.0,Forastero,Congo,105625.0
Theo,Madagascar,2007,65.0,U.S.A.,70.0,Trinitario,Madagascar,113750.0
twenty-four blackbirds,Dominican Republic,2013,68.0,U.S.A.,65.0,Blend,Dominican Republic,110500.0
Two Ravens,Peru,2016,60.0,U.S.A.,60.0,Criollo,Peru,90000.0
Un Dimanche A Paris,Dominican Republic,2011,63.0,France,75.0,Blend,Dominican Republic,118125.0
Urzi,"Sur del Lago, Merida",2014,65.0,Italy,65.0,Trinitario,Venezuela,105625.0
Valrhona,"Piura, Illanka, Quemazon",2015,63.0,France,80.0,Blend,Peru,126000.0
Valrhona,"Loma Sotavento, 2013",2013,64.0,France,70.0,Blend,Dominican Republic,112000.0
Valrhona,"Otucan, Grand Cru",2012,69.0,France,80.0,Blend,Venezuela,138000.0
Valrhona,Caraque,2011,56.0,France,65.0,Blend,Other,91000.0
Valrhona,"Porcelana, Pedegral",2011,64.0,France,80.0,Criollo,Venezuela,128000.0
Valrhona,Tainori,2009,64.0,France,75.0,Blend,Dominican Republic,120000.0
Valrhona,Alpaco,2009,66.0,France,75.0,Blend,Ecuador,123750.0
Valrhona,Nyangbo,2009,68.0,France,70.0,Forastero,Ghana,119000.0
Valrhona,Chuao 2002 P.,2007,65.0,France,75.0,Trinitario,Venezuela,121875.0
Valrhona,Manjari,2007,64.0,France,80.0,"Criollo, Trinitario",Madagascar,128000.0
Valrhona,"Porcelana, Maracaibo, Palmira P. 2006",2007,64.0,France,65.0,Criollo (Porcelana),Venezuela,104000.0
Valrhona,Caraibe,2006,66.0,France,60.0,Trinitario,Carribean,99000.0
Valrhona,Gran Couva 2005 P.,2006,64.0,France,50.0,Trinitario,Trinidad,80000.0
Valrhona,"Porcelana, Maracaibo, Palmira P. 2005",2006,64.0,France,60.0,Criollo (Porcelana),Venezuela,96000.0
Valrhona,"Sambirano, Ampamakia 2005, Millot P.",2006,64.0,France,70.0,Trinitario,Madagascar,112000.0
Vanleer (Barry Callebaut),Napa,2012,65.0,U.S.A.,55.0,Forastero,Ghana,89375.0
Vao Vao (Chocolaterie Robert),Madagascar w/ nibs,2009,68.0,Madagascar,60.0,Trinitario,Madagascar,102000.0
Vao Vao (Chocolaterie Robert),Madagascar,2009,64.0,Madagascar,65.0,Trinitario,Madagascar,104000.0
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2007",2007,65.0,U.S.A.,60.0,Forastero (Arriba),Ecuador,97500.0
Willie's Cacao,Java,2010,69.0,U.K.,75.0,Blend,Indonesia,129375.0
Xocolat,Hispaniola,2013,66.0,Domincan Republic,60.0,Blend,Dominican Republic,99000.0
Zak's,"House Blend, Batch 2",2015,60.0,U.S.A.,60.0,Blend,Other,90000.0
Zokoko,Goddess Blend,2016,65.0,Australia,65.0,Blend,Other,105625.0
Zokoko,Alto Beni,2011,68.0,Australia,70.0,Blend,Bolivia,119000.0
Zokoko,Tokiala,2011,66.0,Australia,70.0,Trinitario,Papua New Guinea,115500.0
Zotter,Amazonas Frucht,2012,65.0,Austria,70.0,Blend,Other,113750.0
Zotter,"Loma Los Pinos, Yacao region, D.R.",2012,62.0,Austria,75.0,Blend,Dominican Republic,116250.0
Zotter,"Kongo, Highlands",2012,68.0,Austria,65.0,Forastero,Congo,110500.0
Zotter,"Indianer, Raw",2012,58.0,Austria,70.0,Blend,Other,101500.0
Zotter,Congo,2011,65.0,Austria,60.0,Forastero,Congo,97500.0
Zotter,Kerala State,2011,65.0,Austria,70.0,Forastero,India,113750.0
Zotter,Kerala State,2011,62.0,Austria,65.0,Blend,India,100750.0
Zotter,"Brazil, Mitzi Blue",2010,65.0,Austria,60.0,Blend,Brazil,97500.0
